iter	Passed	Remaining
0	38	38902
1	79	39645
2	116	38743
3	153	38119
4	188	37588
5	200	33246
6	235	33401
7	284	35303
8	328	36206
9	368	36456
10	408	36727
11	451	37156
12	507	38517
13	543	38311
14	580	38121
15	617	37989
16	653	37806
17	704	38460
18	744	38447
19	782	38364
20	818	38160
21	856	38064
22	908	38607
23	949	38608
24	992	38711
25	1034	38751
26	1097	39567
27	1150	39928
28	1198	40135
29	1238	40042
30	1283	40130
31	1343	40643
32	1389	40702
33	1432	40704
34	1475	40678
35	1530	40972
36	1572	40919
37	1615	40892
38	1653	40745
39	1691	40606
40	1735	40600
41	1774	40485
42	1812	40349
43	1850	40200
44	1887	40056
45	1936	40151
46	1974	40044
47	2015	39974
48	2056	39909
49	2100	39905
50	2145	39924
51	2189	39922
52	2232	39887
53	2279	39929
54	2350	40383
55	2398	40435
56	2443	40430
57	2491	40468
58	2587	41262
59	2684	42055
60	2768	42609
61	2845	43048
62	2932	43614
63	3014	44079
64	3108	44719
65	3182	45034
66	3270	45544
67	3347	45883
68	3372	45510
69	3443	45754
70	3515	45999
71	3586	46231
72	3656	46438
73	3731	46693
74	3797	46841
75	3864	46983
76	3924	47039
77	3995	47234
78	4056	47286
79	4121	47399
80	4182	47450
81	4261	47706
82	4327	47809
83	4409	48083
84	4479	48221
85	4543	48287
86	4622	48514
87	4702	48739
88	4785	48988
89	4865	49195
90	4944	49395
91	5019	49540
92	5097	49717
93	5174	49869
94	5253	50044
95	5328	50180
96	5398	50255
97	5462	50273
98	5544	50456
99	5619	50577
100	5691	50660
101	5762	50735
102	5836	50827
103	5903	50859
104	5979	50967
105	6041	50954
106	6102	50928
107	6170	50959
108	6244	51047
109	6319	51132
110	6382	51120
111	6448	51127
112	6523	51207
113	6603	51319
114	6676	51381
115	6784	51704
116	6865	51815
117	6938	51862
118	7002	51844
119	7070	51848
120	7148	51931
121	7215	51929
122	7283	51932
123	7352	51941
124	7414	51902
125	7479	51883
126	7549	51892
127	7613	51864
128	7696	51969
129	7740	51801
130	7779	51607
131	7821	51433
132	7861	51245
133	7896	51030
134	7932	50825
135	7968	50625
136	8005	50428
137	8040	50224
138	8076	50025
139	8111	49830
140	8148	49640
141	8189	49483
142	8229	49320
143	8269	49156
144	8309	49000
145	8349	48838
146	8387	48673
