RecordID,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,subscribe
13783,49,admin.,divorced,professional.course,no,yes,yes,cellular,aug,mon,4457,1,115,2,failure,1.4,92.47970345,-35.49899571,0.705057852,4990.198481,no
23986,52,services,married,high.school,unknown,yes,no,cellular,may,mon,4797,1,402,2,nonexistent,-1.8,93.43916109,-39.33132012,4.245478743,5144.563621,yes
20663,46,blue-collar,divorced,basic.9y,no,no,no,cellular,apr,wed,169,1,999,1,failure,-1.8,93.075,-47.1,1.445,5099.1,no
13958,26,entrepreneur,single,high.school,yes,yes,yes,cellular,aug,fri,376,28,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,yes
28184,47,admin.,single,university.degree,no,no,no,cellular,nov,tue,3033,1,252,4,success,-3.4,94.35237552,-33.07362003,1.208701773,5025.420036,no
10016,47,management,married,unknown,no,no,no,cellular,jul,thu,841,1,10,3,nonexistent,1.4,92.63665983,-30.74518165,3.461046513,5133.810899,no
14580,34,technician,married,high.school,no,yes,no,cellular,aug,mon,77,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
13312,39,technician,married,basic.9y,yes,no,unknown,cellular,apr,mon,4186,35,952,4,success,1.4,92.2328788,-34.55833562,4.728503668,5227.528005,no
16088,48,services,married,high.school,no,no,no,cellular,aug,thu,163,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
27141,51,housemaid,married,unknown,no,no,no,cellular,aug,fri,2421,1,581,6,success,-2.9,93.07904351,-27.85770498,2.25452107,5147.647683,yes
29134,37,self-employed,married,university.degree,no,no,no,telephone,jun,mon,2706,1,737,5,success,-1.7,92.64797184,-33.93671147,1.674244245,5113.149765,yes
9721,57,housemaid,married,university.degree,no,no,no,cellular,jul,wed,388,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
16219,35,technician,single,professional.course,no,yes,yes,cellular,aug,thu,133,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
25223,32,blue-collar,single,high.school,no,yes,no,cellular,may,thu,216,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
12834,54,housemaid,divorced,basic.4y,no,yes,no,cellular,jul,mon,50,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
